transcript_id,SRR066643,SRR066644,SRR066645,SRR066646,SRR066647,SRR066648
Cre01.g000800_4532.4.v6.1,0,0,11,0,0,0
Cre01.g000800_4532.1.v6.1,0,0,4,0,0,0
Cre01.g000800_4532.5.v6.1,0,0,3,0,0,0
Cre01.g000800_4532.2.v6.1,19,22,12,9,10,16
Cre01.g000800_4532.3.v6.1,2,5,3,4,2,3
Cre01.g000650_4532.2.v6.1,0,0,100,197,11,39
Cre01.g000700_4532.3.v6.1,0,0,0,0,0,0
Cre01.g000650_4532.1.v6.1,49,84,131,524,814,989
Cre01.g000700_4532.1.v6.1,19,20,31,25,30,46
Cre01.g000700_4532.2.v6.1,8,0,0,0,0,0
Cre01.g000750_4532.1.v6.1,105,103,116,120,158,165
Cre01.g000850_4532.1.v6.1,423,464,446,242,256,268
Cre01.g000900_4532.1.v6.1,400,459,386,493,568,614
Cre01.g001250_4532.1.v6.1,3,0,5,0,5,3
Cre01.g001300_4532.1.v6.1,10,17,30,9,6,16
Cre01.g001450_4532.1.v6.1,0,0,4,1,0,0
Cre01.g001450_4532.3.v6.1,0,0,0,0,0,0
Cre01.g001450_4532.2.v6.1,31,61,41,16,19,28
Cre01.g001400_4532.2.v6.1,0,0,0,0,0,0
Cre01.g001350_4532.1.v6.1,52,54,26,12,16,18
Cre01.g001400_4532.1.v6.1,84,143,72,120,111,60
Cre01.g000100_4532.2.v6.1,0,0,0,0,0,0
Cre01.g000100_4532.3.v6.1,0,0,0,0,0,0
Cre01.g000200_4532.3.v6.1,0,2,0,1,0,0
Cre01.g000200_4532.1.v6.1,0,56,0,16,11,27
Cre01.g000450_4532.2.v6.1,0,0,0,0,0,46
Cre01.g000550_4532.1.v6.1,0,0,0,0,0,0
Cre01.g000600_4532.2.v6.1,0,0,38,80,5,18
Cre01.g000050_4532.1.v6.1,133,146,104,144,181,202
Cre01.g000100_4532.1.v6.1,80,76,87,38,57,74
Cre01.g000150_4532.1.v6.1,79,69,63,0,0,0
