Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
results | qc | raw | SRR066643 - illumina_universal_adapter	(1, 2.958480273652325e-05)	(2, 7.692048711496044e-05)	(3, 0.0002603462640814046)	(4, 0.00034910067229097433)	(5, 0.00042010419885863017)	(6, 0.0004792738043316766)	(7, 0.0005325264492574184)	(8, 0.0006449486996562069)	(9, 0.0007632879106022998)	(10, 0.0009526306481160487)	(11, 0.0010887207407040557)	(12, 0.0012129769121974531)	(13, 0.0013135652415016323)	(14, 0.0014555722946369438)	(15, 0.0017810051247386996)	(16, 0.0019880987438943626)	(17, 0.0022366110868811575)	(18, 0.0026626322462870926)	(19, 0.003621179854950446)	(20, 0.007514539895076906)	(21, 0.010514438892560363)	(22, 0.016638493059020674)	(23, 0.028661756891143725)	(24, 0.04086844650023322)	(25, 0.060210990529372115)	(26, 0.09279569226337882)	(27, 0.13827345102996236)	(28, 0.19799333383390819)	(29, 0.267346028408866)	(30, 0.3494261051210761)	(31, 0.4467660230847849)	(32, 0.5607266832258725)	(33, 0.6968049418927847)	(34, 0.8526044300638635)	(35, 1.0230483955895213)	(36, 1.202444722423251)	(37, 1.380373643041249)	(38, 1.5545748785144453)	(39, 1.7313263239835297)	(40, 1.9115214404911456)	(41, 2.1019884005088825)	(42, 2.296964084463665)	(43, 2.4929634025931318)	(44, 2.690240784200816)	(45, 2.8880447752972103)	(46, 3.08759426975506)	(47, 3.2855461848651366)	(48, 3.4823620435501312)	(49, 3.6715923588134816)	(50, 3.8601244727322492)	(51, 4.0433549900006325)	(52, 4.223212839757052)	(53, 4.402242315036848)	(54, 4.583875252957459)	(55, 4.759253963579569)	(56, 4.938526034241805)	(57, 5.11462069709014)	(58, 5.282177185868712)	(59, 5.4498460968976845)	(60, 5.610302233019492)	(61, 5.76300715082433)	(62, 5.913297948725869)	(63, 6.062819541756257)	(64, 6.206146077093617)
results | qc | raw | SRR066643 - polyg	(1, 0.00043785508050054407)	(2, 0.0004851907648789813)	(3, 0.0005088586070681999)	(4, 0.0005325264492574184)	(5, 0.0007159522262238626)	(6, 0.0009230458453795254)	(7, 0.0010413850563256184)	(8, 0.00143782141299503)	(9, 0.0018520086513063555)	(10, 0.0021596905997661973)	(11, 0.002550209995888304)	(12, 0.0033194148670379086)	(13, 0.004183291106944388)	(14, 0.00507675214958739)	(15, 0.006224642495764492)	(16, 0.007934644093935536)	(17, 0.010964127894155516)	(18, 0.012697797334515778)	(19, 0.015401848304634003)	(20, 0.01772721379972473)	(21, 0.020147250663572334)	(22, 0.022945973002447433)	(23, 0.025632273090923745)	(24, 0.029359958235725674)	(25, 0.03343674405281857)	(26, 0.03718809703980972)	(27, 0.041732322740139695)	(28, 0.04680907488972708)	(29, 0.05276153720031556)	(30, 0.05919919027578302)	(31, 0.06664864360483957)	(32, 0.07445311456673441)	(33, 0.08288478334664354)	(34, 0.09353531233179191)	(35, 0.10430418052788637)	(36, 0.11965277618759464)	(37, 0.13342154338117254)	(38, 0.14890622913346882)	(39, 0.1653080437705973)	(40, 0.1828340809117137)	(41, 0.20411738800036852)	(42, 0.22391553799164987)	(43, 0.24886736061963358)	(44, 0.273872435892543)	(45, 0.30411993821036437)	(46, 0.3331248788132518)	(47, 0.36562082613904895)	(48, 0.3997912732997333)	(49, 0.4377012395263142)	(50, 0.48122048435173986)	(51, 0.5230474784606365)	(52, 0.5686554103592607)	(53, 0.6169318914647193)	(54, 0.668492285673932)	(55, 0.7257743807323883)	(56, 0.790482261277712)	(57, 0.8534919741459592)	(58, 0.9242824901339121)	(59, 0.99771788748651)	(60, 1.0686149087643144)	(61, 1.1436774702674213)	(62, 1.2252013526881846)	(63, 1.299731387742034)	(64, 1.3830421922480836)
results | qc | raw | SRR066644 - illumina_universal_adapter	(1, 2.1854376639419723e-05)	(2, 0.00010380828903724368)	(3, 0.00024039814303361694)	(4, 0.0003715244028701353)	(5, 0.00047533269190737896)	(6, 0.000551823010145348)	(7, 0.0006119225459037522)	(8, 0.0006720220816621565)	(9, 0.0007375852115804156)	(10, 0.0007976847473388198)	(11, 0.0009124202246957734)	(12, 0.0010162285137330172)	(13, 0.0011145732086104059)	(14, 0.0011965271210082299)	(15, 0.001491561205640396)	(16, 0.0016281510596367693)	(17, 0.0017756681019528524)	(18, 0.002212755634741247)	(19, 0.003381964784950202)	(20, 0.007802012460272841)	(21, 0.011582819618892452)	(22, 0.0202808615213815)	(23, 0.037381911241727434)	(24, 0.054242562819039754)	(25, 0.081500434082556)	(26, 0.1252747504913137)	(27, 0.18620475256201588)	(28, 0.2658366374419015)	(29, 0.35961376760165153)	(30, 0.4709181078262162)	(31, 0.5986023033420259)	(32, 0.7509983352428595)	(33, 0.9288711067110966)	(34, 1.1214300192810238)	(35, 1.3271398029937218)	(36, 1.5385808969801076)	(37, 1.7435039231337865)	(38, 1.952426300212479)	(39, 2.158906450701717)	(40, 2.3674736941600187)	(41, 2.5881755802473587)	(42, 2.8139640724975234)	(43, 3.039053224695227)	(44, 3.2637216801426217)	(45, 3.4913951123779365)	(46, 3.7224122642390824)	(47, 3.9552815745204195)	(48, 4.183943917298668)	(49, 4.405591005175663)	(50, 4.619463398563184)	(51, 4.828391239236036)	(52, 5.029604484955174)	(53, 5.233544064160079)	(54, 5.434560620489462)	(55, 5.631883787166783)	(56, 5.83344670291215)	(57, 6.031797025291524)	(58, 6.223891532357864)	(59, 6.41344546813987)	(60, 6.5950498744192885)	(61, 6.768540843371322)	(62, 6.936808616306534)	(63, 7.1049343357935895)	(64, 7.266804239967612)
results | qc | raw | SRR066644 - polyg	(1, 0.00010927188319709862)	(2, 0.00016937141895550286)	(3, 0.00018576220143506764)	(4, 0.00018576220143506764)	(5, 0.0002677161138328916)	(6, 0.0003769879970299902)	(7, 0.0004261603444686846)	(8, 0.0005081142568665086)	(9, 0.0006774856758220114)	(10, 0.0008031483414986748)	(11, 0.001027155702052727)	(12, 0.0013822893224432974)	(13, 0.0017811316961127074)	(14, 0.002343881894577765)	(15, 0.003010440382080067)	(16, 0.004064914054932069)	(17, 0.0059279996634426)	(18, 0.007315752580045752)	(19, 0.009408309143270191)	(20, 0.01129324912842014)	(21, 0.0137955752536337)	(22, 0.0161230663657319)	(23, 0.01895867173469661)	(24, 0.022045602435014647)	(25, 0.025760846463715997)	(26, 0.02988586005440647)	(27, 0.03479763120411605)	(28, 0.040283079740610406)	(29, 0.04644055035876691)	(30, 0.052882127873235873)	(31, 0.060514768914553214)	(32, 0.06907622096304589)	(33, 0.07782889880713349)	(34, 0.08935708248442739)	(35, 0.10123493618795201)	(36, 0.11650021827058668)	(37, 0.13232278695752656)	(38, 0.1496423804442667)	(39, 0.16869393327968085)	(40, 0.18950476343456826)	(41, 0.2136483860269672)	(42, 0.23760078282377123)	(43, 0.2668801839264338)	(44, 0.2966130633443643)	(45, 0.3292962836086165)	(46, 0.3620396034086271)	(47, 0.3995253229393918)	(48, 0.4397865483033628)	(49, 0.48173602426272893)	(50, 0.5277067055237483)	(51, 0.5740215932168385)	(52, 0.6225273821680306)	(53, 0.6759394786747724)	(54, 0.7339027491166734)	(55, 0.7985917039693557)	(56, 0.8716672758574154)	(57, 0.9434479759295896)	(58, 1.024631521550874)	(59, 1.1080278228068996)	(60, 1.1860206294388287)	(61, 1.269804845880204)	(62, 1.3577086123181101)	(63, 1.4421648508411475)	(64, 1.5345433008959748)
results | qc | raw | SRR066645 - illumina_universal_adapter	(1, 3.9292841125010174e-05)	(2, 9.542547130359614e-05)	(3, 0.0003087294659822228)	(4, 0.00039292841125010175)	(5, 0.0004546743044465463)	(6, 0.000499580408589415)	(7, 0.0005276467236787081)	(8, 0.0006679782991251729)	(9, 0.0007970833485359207)	(10, 0.0009710945020895372)	(11, 0.0010216138692502644)	(12, 0.0011170393405538607)	(13, 0.0012124648118574568)	(14, 0.0013135035461789115)	(15, 0.0016502993272504273)	(16, 0.0017737911136433164)	(17, 0.0019927083713398015)	(18, 0.002256531733179156)	(19, 0.003362344547697299)	(20, 0.007791209068787732)	(21, 0.011406150452288667)	(22, 0.019966376554523026)	(23, 0.03712612160011675)	(24, 0.05389293823446038)	(25, 0.08222307668559271)	(26, 0.1310303986258732)	(27, 0.20307101619707044)	(28, 0.2975029399465056)	(29, 0.41096943858949925)	(30, 0.5462939834240343)	(31, 0.7067940128936652)	(32, 0.8980322706490896)	(33, 1.1291696019354531)	(34, 1.3856002963802874)	(35, 1.668654697318825)	(36, 1.960937302658722)	(37, 2.2535623170427086)	(38, 2.549016415987696)	(39, 2.8475185167513803)	(40, 3.156747563142192)	(41, 3.4807001984288477)	(42, 3.8149531713532734)	(43, 4.145080395959574)	(44, 4.478699070162981)	(45, 4.817150763824765)	(46, 5.161468317340211)	(47, 5.504354488786104)	(48, 5.8417059828963875)	(49, 6.169801206290223)	(50, 6.488061992876769)	(51, 6.795960695932349)	(52, 7.098734489852624)	(53, 7.402720748584756)	(54, 7.704023867594352)	(55, 7.99957900527366)	(56, 8.296397127131987)	(57, 8.586159377376866)	(58, 8.863157067519134)	(59, 9.13955975178151)	(60, 9.40307438415488)	(61, 9.651562311429446)	(62, 9.893606212759508)	(63, 10.135223506100214)	(64, 10.362223862542415)
results | qc | raw | SRR066645 - polyg	(1, 8.419894526787894e-05)	(2, 0.00011787852337503053)	(3, 0.00013471831242860632)	(4, 0.0001459448384643235)	(5, 0.0002525968358036368)	(6, 0.0004378345153929705)	(7, 0.0005276467236787081)	(8, 0.0006792048251608901)	(9, 0.0009149618719109512)	(10, 0.0011114260775360021)	(11, 0.0014257688065360834)	(12, 0.0017962441657147507)	(13, 0.0022340786811077215)	(14, 0.0029469630843757632)	(15, 0.0037047535917866734)	(16, 0.004754433776126231)	(17, 0.00647770552260882)	(18, 0.007712623386537712)	(19, 0.009632359338645351)	(20, 0.011742946233360184)	(21, 0.014010704492575056)	(22, 0.0161605842284149)	(23, 0.018490088380826216)	(24, 0.021498797358398422)	(25, 0.025186711161131522)	(26, 0.029447177791686197)	(27, 0.033876042312776626)	(28, 0.03857995672174213)	(29, 0.04451878899463653)	(30, 0.05042955495244163)	(31, 0.057322641938371985)	(32, 0.06497913269473111)	(33, 0.0735337455339476)	(34, 0.08359271286195022)	(35, 0.09490905110595314)	(36, 0.10783078257306364)	(37, 0.12151030454758503)	(38, 0.13765404898694636)	(39, 0.15431982688696852)	(40, 0.17318600388999128)	(41, 0.1938035189545859)	(42, 0.21442664728219837)	(43, 0.24074723757293734)	(44, 0.26716886659799777)	(45, 0.297923934672845)	(46, 0.3276405490893884)	(47, 0.36258872463857605)	(48, 0.398833563944889)	(49, 0.4376661175024347)	(50, 0.48056267348491016)	(51, 0.5235041355715284)	(52, 0.5688312344407366)	(53, 0.6186040376200888)	(54, 0.6721714065995134)	(55, 0.7316158619586358)	(56, 0.7964097569737777)	(57, 0.8624329565898304)	(58, 0.9338336621769918)	(59, 1.013137842093298)	(60, 1.0851335535603523)	(61, 1.161412184710033)	(62, 1.2387966286742316)	(63, 1.3143118560534832)	(64, 1.395215815929879)
results | qc | raw | SRR066646 - illumina_universal_adapter	(1, 0.00016986422865446468)	(2, 0.00023780992011625054)	(3, 0.0003227420344434829)	(4, 0.00043598485354645936)	(5, 0.0004586334173670546)	(6, 0.0005379033907391382)	(7, 0.0006568083507972635)	(8, 0.0008096861565862816)	(9, 0.000894618270913514)	(10, 0.0009738882442855975)	(11, 0.001053158217657681)	(12, 0.0011211039091194668)	(13, 0.001398548815921759)	(14, 0.0015684130445762238)	(15, 0.0018175472466027721)	(16, 0.002264856382059529)	(17, 0.004116376474393194)	(18, 0.00918399262925139)	(19, 0.014965038544458338)	(20, 0.02927893087907456)	(21, 0.0569894487135729)	(22, 0.08480188508526391)	(23, 0.13030284980083987)	(24, 0.20922743257465928)	(25, 0.32107736500266915)	(26, 0.4644540982689476)	(27, 0.6336275457268842)	(28, 0.8355225057646257)	(29, 1.0698785198982355)	(30, 1.3500412543589992)	(31, 1.6755067786019087)	(32, 2.0330200206509605)	(33, 2.4177851471171437)	(34, 2.808116158142238)	(35, 3.196731540457922)	(36, 3.590550430311388)	(37, 3.982936798503202)	(38, 4.378612870589957)	(39, 4.789774898189044)	(40, 5.2090111387901725)	(41, 5.625682429538619)	(42, 6.05315708522949)	(43, 6.487556539308508)	(44, 6.925585425739776)	(45, 7.372549170598268)	(46, 7.812695697746762)	(47, 8.236189868346163)	(48, 8.648812728311679)	(49, 9.048203164865011)	(50, 9.440912275091268)	(51, 9.834436733615066)	(52, 10.22643807622193)	(53, 10.61776562405513)	(54, 11.015808471061137)	(55, 11.405714821514595)	(56, 11.788203767316809)	(57, 12.164821072948532)	(58, 12.5269149870303)	(59, 12.87657483957456)	(60, 13.224230294220698)	(61, 13.569456690397077)	(62, 13.910198670936978)	(63, 14.253001670784553)	(64, 14.595198821549927)
results | qc | raw | SRR066646 - polya	(1, 0.37620396934199807)	(2, 0.3765210492354864)	(3, 0.37695703408903286)	(4, 0.377494937479772)	(5, 0.3778290037961258)	(6, 0.38042226435358395)	(7, 0.38081295207948923)	(8, 0.381299896201632)	(9, 0.3816113139541652)	(10, 0.3818547860152366)	(11, 0.382098258076308)	(12, 0.38237004084215515)	(13, 0.3825908643394059)	(14, 0.3826871207356435)	(15, 0.38286830924620824)	(16, 0.38303251133390753)	(17, 0.3831684027168311)	(18, 0.3834005504959922)	(19, 0.3837119682485254)	(20, 0.3838535217724041)	(21, 0.38397242673246224)	(22, 0.38418192594780276)	(23, 0.38432914161263665)	(24, 0.3844310601498293)	(25, 0.38465754578803524)	(26, 0.3848217478757346)	(27, 0.38492366641292725)	(28, 0.385104854923492)	(29, 0.3853030298569222)	(30, 0.385484218367487)	(31, 0.3856823933009172)	(32, 0.38592020322103343)	(33, 0.3860674188858673)	(34, 0.3862599316783424)	(35, 0.38644112018890714)	(36, 0.38674687580048517)	(37, 0.38690541574722936)	(38, 0.38716021209021106)	(39, 0.3873414006007758)	(40, 0.38762450764853323)	(41, 0.3878170204410083)	(42, 0.3880265196563488)	(43, 0.3882360188716893)	(44, 0.3884568423689401)	(45, 0.38866634158428065)	(46, 0.3888815029405763)	(47, 0.38908534001496164)	(48, 0.3893741092036742)	(49, 0.3895609598551941)	(50, 0.3897761212114898)	(51, 0.3900535661182921)	(52, 0.3904102809984665)	(53, 0.3907443473148203)	(54, 0.39103311650353284)	(55, 0.3913501963970212)	(56, 0.39171823555910584)	(57, 0.3920070047478184)	(58, 0.39225613894984496)	(59, 0.3925845431252436)	(60, 0.3928506637501356)	(61, 0.39311112223407246)	(62, 0.39347916139615713)	(63, 0.39376226844391454)	(64, 0.3941416318879095)
results | qc | raw | SRR066646 - polyg	(1, 0.00014155352387872056)	(2, 0.00015853994674416703)	(3, 0.00018118851056476233)	(4, 0.00019251279247505996)	(5, 0.0002038370743853576)	(6, 0.0002264856382059529)	(7, 0.00026612062489199466)	(8, 0.00031707989348833405)	(9, 0.0003793634439949711)	(10, 0.0004586334173670546)	(11, 0.000605849082200924)	(12, 0.0007643890289450911)	(13, 0.0009002804118686628)	(14, 0.0010191853719267881)	(15, 0.0012796438558636339)	(16, 0.001438183802607801)	(17, 0.0016703315817689027)	(18, 0.0018628443742439626)	(19, 0.002208234972508041)	(20, 0.0024177341878485474)	(21, 0.002706503376561137)	(22, 0.003000934706228876)	(23, 0.003442581700730484)	(24, 0.003929525822873283)	(25, 0.004490077777433017)	(26, 0.005061954013903048)	(27, 0.0056338302503730784)	(28, 0.0062849764602151935)	(29, 0.007038041207249986)	(30, 0.007796768095239929)	(31, 0.008731021352839484)	(32, 0.009778517429542017)	(33, 0.010888297056751185)	(34, 0.01211698164401848)	(35, 0.014025123145903633)	(36, 0.015695454727672538)	(37, 0.01725820563129361)	(38, 0.0189964829045243)	(39, 0.021074488635063917)	(40, 0.02312984580178294)	(41, 0.025700457795420507)	(42, 0.02846924472248828)	(43, 0.031464517287762006)	(44, 0.03451074912163207)	(45, 0.03806657364146553)	(46, 0.04196778875956307)	(47, 0.046242705180700436)	(48, 0.05067616154858196)	(49, 0.054883132278257536)	(50, 0.05980353276828186)	(51, 0.06502968886988422)	(52, 0.0708843426175081)	(53, 0.07709571124530637)	(54, 0.0834542955379385)	(55, 0.09034512108035461)	(56, 0.09796070066502978)	(57, 0.10527618677908206)	(58, 0.11333341335825883)	(59, 0.12165109842137245)	(60, 0.1313616701594527)	(61, 0.14211973797423544)	(62, 0.15313260213199992)	(63, 0.16458145114331083)	(64, 0.17669277064637415)
results | qc | raw | SRR066647 - illumina_universal_adapter	(1, 0.00012308628107725786)	(2, 0.0002461725621545157)	(3, 0.0003748536741898307)	(4, 0.00047556063143485984)	(5, 0.00051472444814126)	(6, 0.0005874572505960034)	(7, 0.0007217331935893756)	(8, 0.0008783884604149765)	(9, 0.0010182592343664057)	(10, 0.0011637248392758924)	(11, 0.00124764730364675)	(12, 0.0013595439228078934)	(13, 0.0017008286112493811)	(14, 0.0019022425257394393)	(15, 0.0020644926235230975)	(16, 0.002428156635796814)	(17, 0.0033401140819601335)	(18, 0.0073572027098451846)	(19, 0.009863686979054799)	(20, 0.015217940205915515)	(21, 0.026250946855204266)	(22, 0.03771475548826342)	(23, 0.05675396523853198)	(24, 0.0889690018950252)	(25, 0.13664815131958843)	(26, 0.1991536027830032)	(27, 0.27264730224804223)	(28, 0.35906506122619336)	(29, 0.4630393997507279)	(30, 0.5889063118141402)	(31, 0.7387638590257016)	(32, 0.9066535464150813)	(33, 1.0930733139375464)	(34, 1.2845228344913049)	(35, 1.4784228910046924)	(36, 1.6748406214492055)	(37, 1.874011008725083)	(38, 2.0767341136593265)	(39, 2.2937911755081126)	(40, 2.5190110957247045)	(41, 2.745154163049375)	(42, 2.9764836386721654)	(43, 3.213228910662355)	(44, 3.455949462115749)	(45, 3.70400748230313)	(46, 3.9507730965391996)	(47, 4.1892191971406385)	(48, 4.421561337166837)	(49, 4.648454111839888)	(50, 4.871100409815773)	(51, 5.095581812345901)	(52, 5.322524940497574)	(53, 5.550430379574033)	(54, 5.78090384606024)	(55, 6.010896157084055)	(56, 6.236172025610227)	(57, 6.458544176869167)	(58, 6.673956358416285)	(59, 6.88304078614984)	(60, 7.091062196001364)	(61, 7.300163408227792)	(62, 7.5040894018180175)	(63, 7.713503924578098)	(64, 7.923013559464465)
