Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
results | qc | raw | SRR066643	(1, 32.1036988754639)	(2, 31.76233297233957)	(3, 31.53232971031922)	(4, 31.549563272100485)	(5, 31.537127536948606)	(6, 31.571224554628902)	(7, 31.501483115745984)	(8, 31.447517595413505)	(9, 31.168308771142556)	(10, 31.544250729073084)	(11, 31.28999899352501)	(12, 31.018563339494666)	(13, 31.15848726749969)	(14, 30.89553262970022)	(15, 30.657840040770225)	(16, 30.66965047153146)	(17, 30.29750643306743)	(18, 30.15655768749561)	(19, 29.98293447989828)	(20, 29.848173514158013)	(21, 29.94983352335652)	(22, 30.000861627794897)	(23, 29.84791813814079)	(24, 29.496046198207882)	(25, 29.48377826805713)	(26, 29.189735801202907)	(27, 28.99077534016754)	(28, 28.48512005720044)	(29, 28.47971290197389)	(30, 28.210295759864653)	(31, 27.931313732691486)	(32, 27.53877623883551)	(33, 26.933040834305636)	(34, 26.6774910951223)	(35, 26.723298901948212)	(36, 26.298089727038185)	(37, 25.734557398629597)	(38, 25.506565962364935)	(39, 24.926435908755497)	(40, 24.532765908650767)	(41, 24.491599365678162)	(42, 24.038805202357388)	(43, 23.71209294787649)	(44, 23.219197176142412)	(45, 23.162304594596787)	(46, 22.62804199077558)	(47, 22.14580639267234)	(48, 21.335870821864045)	(49, 20.824487921087155)	(50, 20.7339606731584)	(51, 20.30793566772811)	(52, 19.733105790698527)	(53, 19.31365742774696)	(54, 18.772567538998242)	(55, 18.15293076818893)	(56, 17.46260270882004)	(57, 16.721023002243296)	(58, 16.108153814229567)	(59, 15.850217232331053)	(60, 15.31035594127038)	(61, 14.554192169506246)	(62, 14.331299792332436)	(63, 13.758609133219124)	(64, 13.304530516102743)	(65, 12.982800519911489)	(66, 12.552534828856945)	(67, 12.157592859743362)	(68, 11.70629379401368)	(69, 11.062107494723994)	(70, 10.564953108975207)	(71, 10.082766562474909)	(72, 9.604699758925276)	(73, 9.13162817180889)	(74, 8.676627988087265)	(75, 7.949245850834963)
results | qc | raw | SRR066644	(1, 32.01273143101912)	(2, 31.609630568153694)	(3, 31.287887867378902)	(4, 31.194740361810133)	(5, 31.179591563554986)	(6, 31.33012259758935)	(7, 31.342587842301004)	(8, 31.4615178848023)	(9, 31.375441308159278)	(10, 31.34691189462694)	(11, 31.18994086752041)	(12, 30.955270264880507)	(13, 30.985711991004738)	(14, 30.64521080458527)	(15, 30.428408231013872)	(16, 30.292302506096004)	(17, 29.927822151268344)	(18, 29.925325398009175)	(19, 29.603111735417805)	(20, 29.517162078067113)	(21, 29.595515208733882)	(22, 29.63808409236315)	(23, 29.562020480829066)	(24, 29.26356618625283)	(25, 29.112730611479996)	(26, 28.773787259663322)	(27, 28.577852829349553)	(28, 28.31129762000375)	(29, 27.983836721581252)	(30, 27.72562737085839)	(31, 27.360634530898537)	(32, 26.87105497085992)	(33, 26.106788734287385)	(34, 25.908509329360207)	(35, 25.964432930830352)	(36, 25.504714316856774)	(37, 24.796130518708164)	(38, 24.553090563990434)	(39, 23.920111763282133)	(40, 23.79611593091176)	(41, 23.468326233392723)	(42, 22.89960252352487)	(43, 22.560366213789347)	(44, 21.999035238543254)	(45, 21.844423992390308)	(46, 21.41567297547884)	(47, 20.805707215823443)	(48, 20.408016731710756)	(49, 19.90740541016021)	(50, 19.417599001692075)	(51, 18.803070102830304)	(52, 18.141275049896272)	(53, 17.655644357172633)	(54, 17.046509774096773)	(55, 16.33495186846725)	(56, 15.713418969708195)	(57, 14.984415534746546)	(58, 14.427640596034415)	(59, 14.237690932127409)	(60, 13.53465732610609)	(61, 12.963986445915609)	(62, 12.44602985198577)	(63, 11.97728259402709)	(64, 11.567207453216609)	(65, 11.240118297740748)	(66, 10.857053254198636)	(67, 10.454860604590403)	(68, 10.05471800478283)	(69, 9.48769746112243)	(70, 9.108772729234655)	(71, 8.619976047603203)	(72, 8.173419723684189)	(73, 7.760616555673751)	(74, 7.371319354181316)	(75, 6.7783500164181)
results | qc | raw | SRR066645	(1, 32.05455625752528)	(2, 31.603886174252523)	(3, 31.263722547635552)	(4, 31.140096604256538)	(5, 31.080588999688462)	(6, 31.295583428524917)	(7, 31.292329812881878)	(8, 31.424772845278824)	(9, 31.306854523869)	(10, 31.345473661166604)	(11, 31.163249910889448)	(12, 30.894258642320075)	(13, 30.95548957476726)	(14, 30.588138557784333)	(15, 30.397163730462335)	(16, 30.26970942943988)	(17, 29.86238288628371)	(18, 29.897414025860304)	(19, 29.530216868416694)	(20, 29.469337270101796)	(21, 29.507152139074204)	(22, 29.57142226051715)	(23, 29.470342493243034)	(24, 29.205925472706912)	(25, 29.02298041813196)	(26, 28.62459619589165)	(27, 28.42227208047174)	(28, 28.1706770437189)	(29, 27.865930019449955)	(30, 27.61044145507004)	(31, 27.207865191875364)	(32, 26.732789875918822)	(33, 25.84947389692365)	(34, 25.767675856513772)	(35, 25.8029862559255)	(36, 25.328262274101245)	(37, 24.669689053295127)	(38, 24.389522002587714)	(39, 23.620823858613132)	(40, 23.631170000477127)	(41, 23.28646917336282)	(42, 22.70195824293641)	(43, 22.33171190488887)	(44, 21.82696875377141)	(45, 21.81938119388491)	(46, 21.24616268920205)	(47, 20.697425196253707)	(48, 20.184647501115634)	(49, 19.63823653729031)	(50, 19.18087157134878)	(51, 18.566412928467383)	(52, 17.923290326383178)	(53, 17.45201013755301)	(54, 16.853752325995863)	(55, 16.146712845110425)	(56, 15.481608031456727)	(57, 14.760597307317731)	(58, 14.175447699825147)	(59, 14.032706911891417)	(60, 13.282815949525538)	(61, 12.749689614621428)	(62, 12.157687560167163)	(63, 11.696578042599054)	(64, 11.324219882738936)	(65, 10.989198397974734)	(66, 10.591196888006984)	(67, 10.119967723737647)	(68, 9.764899592757768)	(69, 9.201809547599067)	(70, 8.855417949531152)	(71, 8.342879828458683)	(72, 7.8873702143424484)	(73, 7.500963067535974)	(74, 7.127791040670897)	(75, 6.557933364954715)
results | qc | raw | SRR066646	(1, 31.09752511216135)	(2, 30.936691375494842)	(3, 30.68096519572549)	(4, 30.63852982736585)	(5, 30.48270957678667)	(6, 30.32531151400893)	(7, 30.0877554276717)	(8, 30.16152304570639)	(9, 30.347921122299752)	(10, 30.003468514306306)	(11, 30.123586871171117)	(12, 29.96467344960955)	(13, 29.94892969681953)	(14, 29.84748377853238)	(15, 29.565384138893677)	(16, 29.62677669489961)	(17, 29.455280127629187)	(18, 29.108092139340307)	(19, 28.71262041392062)	(20, 28.63205783038989)	(21, 28.48162544665799)	(22, 28.33303761858505)	(23, 28.22464419672452)	(24, 27.689401276155976)	(25, 27.559925551905867)	(26, 27.180705813048338)	(27, 26.770366437908624)	(28, 26.62937374909151)	(29, 27.018782057626552)	(30, 27.038663419919548)	(31, 26.97281238088271)	(32, 26.691708032381104)	(33, 26.265076979071143)	(34, 26.15339362683003)	(35, 25.98789723032978)	(36, 25.48715984971319)	(37, 25.365390582410082)	(38, 25.13476773105102)	(39, 24.56616896825147)	(40, 24.128927572384242)	(41, 23.633229327353508)	(42, 23.442600046067177)	(43, 22.76906765601633)	(44, 22.718613959985877)	(45, 22.137506961602305)	(46, 21.586830290461037)	(47, 21.408904079028993)	(48, 22.035238390855778)	(49, 21.912405660238477)	(50, 21.69092116465257)	(51, 21.370508591619444)	(52, 21.029590858224292)	(53, 20.722449890618762)	(54, 20.36794834134375)	(55, 20.01220253659385)	(56, 19.44148890752614)	(57, 18.784259236820404)	(58, 18.415540164849837)	(59, 17.87059233468417)	(60, 17.67742777316376)	(61, 17.103322748149555)	(62, 16.704836102535484)	(63, 16.507273869378032)	(64, 16.172218829970664)	(65, 16.3166060289118)	(66, 16.438639095362003)	(67, 16.325721283149853)	(68, 16.017492618266836)	(69, 15.67511275021284)	(70, 15.027926754997576)	(71, 14.98321345071027)	(72, 14.49382175489679)	(73, 14.172503862146346)	(74, 13.509563186209018)	(75, 11.743727650114115)
results | qc | raw | SRR066647	(1, 31.320745504511365)	(2, 31.042496769404735)	(3, 30.903598600867053)	(4, 30.906227388141005)	(5, 30.735595674099084)	(6, 30.652466053223293)	(7, 30.168422427193207)	(8, 30.464837466524028)	(9, 30.56775712346466)	(10, 30.358177609139627)	(11, 30.463865252748448)	(12, 29.681451641554176)	(13, 30.212867484582464)	(14, 30.067002464690884)	(15, 29.75547388469982)	(16, 29.88016493114078)	(17, 29.684072372271547)	(18, 29.064756196009533)	(19, 28.88748643882911)	(20, 28.788637301152015)	(21, 28.641852714844166)	(22, 28.499592164797313)	(23, 28.354607267763743)	(24, 27.83327884900452)	(25, 27.665919775383202)	(26, 27.211806928426054)	(27, 27.007609026051266)	(28, 26.81718805922084)	(29, 27.21763679823266)	(30, 27.284614477822398)	(31, 27.23163232382255)	(32, 26.970220505156167)	(33, 26.500128876931118)	(34, 26.44803389527629)	(35, 26.290323946866785)	(36, 25.769923766511816)	(37, 25.659559627498393)	(38, 25.37772298324667)	(39, 24.801695356866574)	(40, 24.25182641857918)	(41, 23.821457362828312)	(42, 23.611711961765373)	(43, 22.995206684524995)	(44, 22.657295958892764)	(45, 22.34226104239198)	(46, 21.768592756226894)	(47, 21.633443851759136)	(48, 22.30494340800512)	(49, 22.195216799979367)	(50, 21.981199130048545)	(51, 21.616883264019904)	(52, 21.287778690419035)	(53, 20.94095276950007)	(54, 20.59923095691583)	(55, 20.24396299556425)	(56, 19.67505887580488)	(57, 18.914484743203694)	(58, 18.507793123963943)	(59, 17.92547534103432)	(60, 17.649864456827796)	(61, 17.092312864513726)	(62, 16.71435098198515)	(63, 16.486959651925424)	(64, 16.20767911809351)	(65, 16.36447979457571)	(66, 16.619872582200795)	(67, 16.47848874216507)	(68, 16.13459233068405)	(69, 15.779156636300348)	(70, 15.043284018068842)	(71, 14.95125469958807)	(72, 14.495489139565912)	(73, 14.163217388107997)	(74, 13.420379485075257)	(75, 11.620213978785856)
results | qc | raw | SRR066648	(1, 32.13364571955179)	(2, 31.826422258513336)	(3, 31.48624149740418)	(4, 31.49303805572065)	(5, 31.611545194974447)	(6, 31.748908173443265)	(7, 31.8413219078294)	(8, 31.744335046274237)	(9, 31.688524658012376)	(10, 31.755297162936017)	(11, 31.505700215261246)	(12, 31.305027490201827)	(13, 31.33100133103674)	(14, 31.004352656348203)	(15, 30.69934139269368)	(16, 30.855196525495487)	(17, 30.23817332698549)	(18, 30.333600009302344)	(19, 30.05654215955899)	(20, 30.046638118892503)	(21, 30.040145266358117)	(22, 30.067477669938757)	(23, 30.015966725461077)	(24, 29.783575830432977)	(25, 29.639182881005738)	(26, 29.328821718136464)	(27, 29.09648199914216)	(28, 28.83002034756476)	(29, 28.54973203532342)	(30, 28.242451617133106)	(31, 27.76100371771878)	(32, 27.22899915247495)	(33, 26.130194589149408)	(34, 26.17255376094906)	(35, 26.163900609704303)	(36, 25.5518386616081)	(37, 24.93797832593142)	(38, 24.734748244461674)	(39, 24.009658408843165)	(40, 24.08998494215827)	(41, 23.606886730619408)	(42, 23.22307876201824)	(43, 22.81454048421725)	(44, 22.340296843332162)	(45, 22.251241938542904)	(46, 21.550811133566228)	(47, 21.08094287933447)	(48, 20.555945948911077)	(49, 20.023281482178817)	(50, 19.59230228362704)	(51, 19.004566492022157)	(52, 18.416589010265362)	(53, 17.686328949953847)	(54, 17.02710654580889)	(55, 16.256846009869026)	(56, 15.798831741149913)	(57, 14.815596655071364)	(58, 14.353673693593779)	(59, 14.142725096864933)	(60, 13.4425335513428)	(61, 12.948801432981503)	(62, 12.225877611496909)	(63, 11.793308868254822)	(64, 11.446514245299015)	(65, 11.007655776989166)	(66, 10.559350764674399)	(67, 10.04569382581189)	(68, 9.642007285654044)	(69, 9.018029993360255)	(70, 8.63869943500739)	(71, 8.122068767844686)	(72, 7.69027778206617)	(73, 7.379191285963071)	(74, 6.929931140971316)	(75, 6.4082944197298)
results | qc | trimmed | SRR066643	(1, 32.42502357476685)	(2, 32.550072509335116)	(3, 32.40414118170766)	(4, 32.41306733938259)	(5, 32.41972480429866)	(6, 32.45513240524667)	(7, 32.36754772690005)	(8, 32.37448262311938)	(9, 32.306355461688725)	(10, 32.46123904542753)	(11, 32.259801957185765)	(12, 32.06282445157583)	(13, 32.20070101385039)	(14, 32.05747013575619)	(15, 31.96174540433618)	(16, 31.932854435232297)	(17, 31.68582071949942)	(18, 31.686579543848573)	(19, 31.494530506363834)	(20, 31.44940532496739)	(21, 31.530309985409495)	(22, 31.59869399484827)	(23, 31.58074289937871)	(24, 31.447810858229847)	(25, 31.402028291689913)	(26, 31.270541316040738)	(27, 31.20451867343125)	(28, 31.086006855517578)	(29, 30.971452151471386)	(30, 30.85503047361768)	(31, 30.751091741034568)	(32, 30.616382319510596)	(33, 30.355698006357827)	(34, 30.303602802108838)	(35, 30.484773477244445)	(36, 30.344500759090845)	(37, 30.104679510817714)	(38, 30.120145179718502)	(39, 29.86704262241651)	(40, 29.958532736002436)	(41, 29.96441819239572)	(42, 29.827680478843618)	(43, 29.79491409184458)	(44, 29.67431572140301)	(45, 29.894627777486864)	(46, 29.754890670089384)	(47, 29.6524387666972)	(48, 29.575146304416123)	(49, 29.578324003425127)	(50, 29.550178398201822)	(51, 29.474758555008325)	(52, 29.338552462407364)	(53, 29.358037509546726)	(54, 29.265916459729752)	(55, 29.125307494286105)	(56, 28.93761615257643)	(57, 28.684571009295205)	(58, 28.63831100413797)	(59, 28.90053882127081)	(60, 28.819086015634717)	(61, 28.7641814425094)	(62, 28.893886662699806)	(63, 28.679470826104826)	(64, 28.618793704655282)	(65, 28.67821787850755)	(66, 28.597626916252512)	(67, 28.511047723877084)	(68, 28.432676222186128)	(69, 28.074588695558003)	(70, 27.959426041093053)	(71, 27.773699156316844)	(72, 27.668724529361644)	(73, 27.595552291847984)	(74, 27.733377658205832)	(75, 24.49821636987528)
results | qc | trimmed | SRR066644	(1, 32.362666096078854)	(2, 32.44050319577624)	(3, 32.2628295894958)	(4, 32.2028679399433)	(5, 32.21282016045045)	(6, 32.32597512279939)	(7, 32.2859703922313)	(8, 32.389698291313515)	(9, 32.33522804603941)	(10, 32.342144850146134)	(11, 32.197035334474386)	(12, 32.02152635007601)	(13, 32.09268411791989)	(14, 31.87694520072918)	(15, 31.784007376363885)	(16, 31.711453845530905)	(17, 31.454516135182494)	(18, 31.501726015538388)	(19, 31.26342713990721)	(20, 31.268653039635403)	(21, 31.323075714950992)	(22, 31.386341777693126)	(23, 31.388921126554777)	(24, 31.22716344679083)	(25, 31.174298876386253)	(26, 31.04133338593715)	(27, 30.980941058367396)	(28, 30.857890789568813)	(29, 30.718552057296883)	(30, 30.616390474606607)	(31, 30.483203288904054)	(32, 30.30741243457039)	(33, 29.96338026928502)	(34, 29.992955446348155)	(35, 30.21110161508056)	(36, 30.042605201804577)	(37, 29.734943311974973)	(38, 29.772237129204274)	(39, 29.540920262038057)	(40, 29.64055243892033)	(41, 29.619271487317352)	(42, 29.465009092415045)	(43, 29.44527248977901)	(44, 29.337739827069946)	(45, 29.51488448770188)	(46, 29.4731873629419)	(47, 29.32071395474987)	(48, 29.346808057304223)	(49, 29.29014752971094)	(50, 29.28705132921669)	(51, 29.165444130964662)	(52, 28.993705510604023)	(53, 29.004432516237426)	(54, 28.87867085508704)	(55, 28.676226413736266)	(56, 28.563425558792705)	(57, 28.313310394823226)	(58, 28.25264812102641)	(59, 28.657014470125656)	(60, 28.455649643252116)	(61, 28.45030321986481)	(62, 28.481513485927877)	(63, 28.332438224843983)	(64, 28.31725185638642)	(65, 28.319109535333)	(66, 28.258207896739258)	(67, 28.156859119295973)	(68, 28.075908289998416)	(69, 27.70353324834007)	(70, 27.68275589706751)	(71, 27.396035050818252)	(72, 27.249648857676238)	(73, 27.18982792587576)	(74, 27.273394187153496)	(75, 24.00262023148817)
results | qc | trimmed | SRR066645	(1, 32.399212348766625)	(2, 32.47423750729482)	(3, 32.300705297885564)	(4, 32.21455804202818)	(5, 32.20459122910873)	(6, 32.357527509554444)	(7, 32.288956060433215)	(8, 32.412728427148956)	(9, 32.338369367751255)	(10, 32.40093623489364)	(11, 32.239551643760436)	(12, 32.04075961273548)	(13, 32.133718601287725)	(14, 31.90911482937653)	(15, 31.816666803189683)	(16, 31.75874315045709)	(17, 31.47935991749481)	(18, 31.55189969114498)	(19, 31.28761507142185)	(20, 31.30495212936948)	(21, 31.34310298703704)	(22, 31.417508997033323)	(23, 31.41366953691326)	(24, 31.280462097780717)	(25, 31.21375238973552)	(26, 31.04602846884508)	(27, 30.988980894303015)	(28, 30.881431857399644)	(29, 30.755778070314417)	(30, 30.651922247411274)	(31, 30.510907342412686)	(32, 30.331509960231937)	(33, 29.917471791854975)	(34, 30.01270999292819)	(35, 30.22858495241234)	(36, 30.067678094508842)	(37, 29.775391298068442)	(38, 29.78914298125642)	(39, 29.489925695514497)	(40, 29.680183543546878)	(41, 29.64266238625744)	(42, 29.47955442294336)	(43, 29.45264390474619)	(44, 29.380535950379727)	(45, 29.674816624474182)	(46, 29.517085929063875)	(47, 29.41883216148572)	(48, 29.34080762892332)	(49, 29.32296823719197)	(50, 29.295787183038325)	(51, 29.186451120990917)	(52, 29.02584980770188)	(53, 29.038124686401982)	(54, 28.90913660485471)	(55, 28.69623624897654)	(56, 28.558023830663977)	(57, 28.304388445025705)	(58, 28.229045273281727)	(59, 28.698669912068336)	(60, 28.454802936514305)	(61, 28.51722832603664)	(62, 28.490104977354385)	(63, 28.29074247368311)	(64, 28.32503326252318)	(65, 28.32594795587792)	(66, 28.284247638476206)	(67, 28.035111450432357)	(68, 28.008772011567626)	(69, 27.631275566798454)	(70, 27.63388154680355)	(71, 27.2800243932075)	(72, 27.11789038262668)	(73, 27.09184170903885)	(74, 27.206867410773434)	(75, 23.84186119794744)
results | qc | trimmed | SRR066646	(1, 32.309233452006815)	(2, 32.23823739272839)	(3, 32.10395132633326)	(4, 32.097050562662375)	(5, 31.99418131733024)	(6, 31.91518905578908)	(7, 31.780202006263664)	(8, 31.849228111293588)	(9, 31.973767782583025)	(10, 31.742389570764857)	(11, 31.87022090086612)	(12, 31.758010285809466)	(13, 31.784031569446057)	(14, 31.76031568981444)	(15, 31.58305442103149)	(16, 31.659784487469825)	(17, 31.542103416325787)	(18, 31.391427237660693)	(19, 31.151368798782066)	(20, 31.138626121848873)	(21, 31.09180509486387)	(22, 31.017818561406063)	(23, 30.991432905925276)	(24, 30.712635247057932)	(25, 30.690186363944168)	(26, 30.477903815357674)	(27, 30.245583603011475)	(28, 30.18932096629508)	(29, 30.46472602942596)	(30, 30.512065795542675)	(31, 30.56523334846318)	(32, 30.456249767827924)	(33, 30.303104112878835)	(34, 30.33923067461488)	(35, 30.333555460782353)	(36, 30.142909307051312)	(37, 30.182762548946805)	(38, 30.147837480281805)	(39, 29.895212022148968)	(40, 29.74470633717473)	(41, 29.555476618924374)	(42, 29.584211859677712)	(43, 29.30908679531799)	(44, 29.43384985820699)	(45, 29.199984098441142)	(46, 29.042580778164663)	(47, 29.105240262108726)	(48, 29.69907012536968)	(49, 29.733904322809547)	(50, 29.735004311367558)	(51, 29.718161822806675)	(52, 29.636372363746943)	(53, 29.607528926865932)	(54, 29.534522559395327)	(55, 29.4713879889675)	(56, 29.2791588223904)	(57, 28.995460143173734)	(58, 28.949680803532914)	(59, 28.756194598880793)	(60, 28.7989246363144)	(61, 28.60507598642679)	(62, 28.54295465374585)	(63, 28.571998099060092)	(64, 28.484622034737175)	(65, 28.75916893906927)	(66, 29.058174520221332)	(67, 29.03669671228003)	(68, 28.959276490301495)	(69, 28.88142973860038)	(70, 28.655485632666778)	(71, 28.81818367686185)	(72, 28.720863261788388)	(73, 28.707429639531053)	(74, 28.80247050615248)	(75, 25.592221658421074)
