Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
results | qc | raw | SRR066643	(0.0, 6317.0)	(1.0, 3561.5)	(2.0, 665.0)	(3.0, 302.5)	(4.0, 81.0)	(5.0, 62.5)	(6.0, 42.0)	(7.0, 37.5)	(8.0, 35.0)	(9.0, 29.5)	(10.0, 23.5)	(11.0, 23.5)	(12.0, 24.0)	(13.0, 22.5)	(14.0, 29.5)	(15.0, 41.0)	(16.0, 44.0)	(17.0, 35.5)	(18.0, 28.5)	(19.0, 41.0)	(20.0, 52.0)	(21.0, 55.0)	(22.0, 68.0)	(23.0, 80.5)	(24.0, 83.0)	(25.0, 97.5)	(26.0, 125.5)	(27.0, 155.0)	(28.0, 171.0)	(29.0, 213.5)	(30.0, 380.0)	(31.0, 1462.0)	(32.0, 2420.0)	(33.0, 4277.5)	(34.0, 6480.0)	(35.0, 9242.5)	(36.0, 11660.0)	(37.0, 13673.5)	(38.0, 19167.0)	(39.0, 28324.0)	(40.0, 34001.0)	(41.0, 40274.0)	(42.0, 59940.0)	(43.0, 90317.0)	(44.0, 107301.0)	(45.0, 136401.5)	(46.0, 193021.5)	(47.0, 246379.0)	(48.0, 272217.0)	(49.0, 308941.5)	(50.0, 384479.5)	(51.0, 457116.5)	(52.0, 490940.0)	(53.0, 535460.5)	(54.0, 618797.5)	(55.0, 706017.0)	(56.0, 754420.0)	(57.0, 805177.0)	(58.0, 901639.0)	(59.0, 973404.5)	(60.0, 999465.0)	(61.0, 1011999.0)	(62.0, 1040589.0)	(63.0, 1052408.0)	(64.0, 1048171.0)	(65.0, 1027227.5)	(66.0, 971283.5)	(67.0, 890026.5)	(68.0, 843770.0)	(69.0, 794224.5)	(70.0, 688852.0)	(71.0, 582549.0)	(72.0, 532073.0)	(73.0, 486383.0)	(74.0, 399146.5)	(75.0, 322354.5)	(76.0, 287109.0)	(77.0, 259449.0)	(78.0, 207419.5)	(79.0, 162299.5)	(80.0, 141549.0)	(81.0, 125581.0)	(82.0, 96892.5)	(83.0, 73454.5)	(84.0, 62737.0)	(85.0, 54040.5)	(86.0, 38208.5)	(87.0, 25915.5)	(88.0, 20758.0)	(89.0, 16854.5)	(90.0, 10486.0)	(91.0, 6290.0)	(92.0, 4559.0)	(93.0, 3488.5)	(94.0, 1773.5)	(95.0, 847.0)	(96.0, 565.0)	(97.0, 410.0)	(98.0, 263.5)	(99.0, 358.5)	(100.0, 445.0)
results | qc | raw | SRR066644	(0.0, 1568.0)	(1.0, 836.0)	(2.0, 73.0)	(3.0, 34.0)	(4.0, 26.0)	(5.0, 23.5)	(6.0, 23.0)	(7.0, 25.0)	(8.0, 25.0)	(9.0, 23.0)	(10.0, 25.0)	(11.0, 24.5)	(12.0, 20.0)	(13.0, 25.5)	(14.0, 27.0)	(15.0, 22.5)	(16.0, 22.0)	(17.0, 23.5)	(18.0, 27.5)	(19.0, 29.0)	(20.0, 28.0)	(21.0, 33.5)	(22.0, 45.0)	(23.0, 45.5)	(24.0, 40.0)	(25.0, 51.5)	(26.0, 66.5)	(27.0, 88.5)	(28.0, 107.0)	(29.0, 120.0)	(30.0, 197.5)	(31.0, 573.0)	(32.0, 884.0)	(33.0, 1504.0)	(34.0, 2514.5)	(35.0, 4056.0)	(36.0, 5207.0)	(37.0, 6906.0)	(38.0, 11288.5)	(39.0, 18579.0)	(40.0, 23186.0)	(41.0, 29161.0)	(42.0, 45243.5)	(43.0, 70184.5)	(44.0, 85018.0)	(45.0, 107347.5)	(46.0, 155976.5)	(47.0, 214368.0)	(48.0, 246460.0)	(49.0, 286734.0)	(50.0, 368890.0)	(51.0, 453772.0)	(52.0, 496772.0)	(53.0, 552273.0)	(54.0, 661566.0)	(55.0, 780126.5)	(56.0, 844895.0)	(57.0, 903448.5)	(58.0, 1020343.5)	(59.0, 1109994.5)	(60.0, 1141304.0)	(61.0, 1156999.0)	(62.0, 1187555.5)	(63.0, 1192000.5)	(64.0, 1181584.0)	(65.0, 1154163.0)	(66.0, 1083170.0)	(67.0, 984239.5)	(68.0, 928881.0)	(69.0, 872266.0)	(70.0, 751329.5)	(71.0, 631627.0)	(72.0, 576246.0)	(73.0, 524969.5)	(74.0, 428337.5)	(75.0, 345064.0)	(76.0, 307146.0)	(77.0, 277783.0)	(78.0, 222956.5)	(79.0, 175889.0)	(80.0, 154285.0)	(81.0, 136901.0)	(82.0, 105959.0)	(83.0, 81221.5)	(84.0, 70042.0)	(85.0, 60732.5)	(86.0, 43641.5)	(87.0, 29934.0)	(88.0, 24008.0)	(89.0, 19835.5)	(90.0, 12598.5)	(91.0, 7603.0)	(92.0, 5672.0)	(93.0, 4300.5)	(94.0, 2191.5)	(95.0, 1072.5)	(96.0, 691.0)	(97.0, 486.5)	(98.0, 215.0)	(99.0, 239.0)	(100.0, 330.0)
results | qc | raw | SRR066645	(0.0, 1985.0)	(1.0, 1056.5)	(2.0, 88.5)	(3.0, 42.5)	(4.0, 36.0)	(5.0, 31.0)	(6.0, 24.5)	(7.0, 27.0)	(8.0, 31.0)	(9.0, 29.5)	(10.0, 27.5)	(11.0, 31.0)	(12.0, 35.0)	(13.0, 30.5)	(14.0, 31.5)	(15.0, 37.0)	(16.0, 37.0)	(17.0, 37.0)	(18.0, 39.5)	(19.0, 48.0)	(20.0, 54.0)	(21.0, 53.5)	(22.0, 56.5)	(23.0, 61.5)	(24.0, 63.0)	(25.0, 64.5)	(26.0, 69.5)	(27.0, 80.5)	(28.0, 88.0)	(29.0, 119.5)	(30.0, 218.5)	(31.0, 484.0)	(32.0, 682.0)	(33.0, 1091.5)	(34.0, 1863.0)	(35.0, 3174.0)	(36.0, 4123.0)	(37.0, 6093.0)	(38.0, 10760.5)	(39.0, 17630.0)	(40.0, 21802.0)	(41.0, 27759.0)	(42.0, 44150.5)	(43.0, 68783.5)	(44.0, 82982.0)	(45.0, 104383.5)	(46.0, 151880.5)	(47.0, 212627.0)	(48.0, 247278.0)	(49.0, 288617.0)	(50.0, 370548.5)	(51.0, 456316.0)	(52.0, 501491.0)	(53.0, 557677.0)	(54.0, 673176.0)	(55.0, 795261.5)	(56.0, 858034.0)	(57.0, 919554.0)	(58.0, 1041433.0)	(59.0, 1130280.5)	(60.0, 1158769.0)	(61.0, 1166545.0)	(62.0, 1181322.0)	(63.0, 1166998.5)	(64.0, 1145674.0)	(65.0, 1114674.0)	(66.0, 1035915.0)	(67.0, 928525.0)	(68.0, 868894.0)	(69.0, 812188.5)	(70.0, 692917.5)	(71.0, 577909.0)	(72.0, 525466.0)	(73.0, 477862.0)	(74.0, 390067.0)	(75.0, 314989.5)	(76.0, 280103.0)	(77.0, 252955.0)	(78.0, 202274.5)	(79.0, 159106.5)	(80.0, 139471.0)	(81.0, 123607.0)	(82.0, 95541.5)	(83.0, 72669.5)	(84.0, 61999.0)	(85.0, 54213.5)	(86.0, 39147.5)	(87.0, 26574.0)	(88.0, 21281.0)	(89.0, 17496.0)	(90.0, 10975.0)	(91.0, 6465.5)	(92.0, 4692.0)	(93.0, 3548.0)	(94.0, 1806.0)	(95.0, 863.5)	(96.0, 519.0)	(97.0, 382.0)	(98.0, 183.5)	(99.0, 224.0)	(100.0, 326.0)
results | qc | raw | SRR066646	(0.0, 64678.0)	(1.0, 32975.0)	(2.0, 894.0)	(3.0, 411.5)	(4.0, 307.0)	(5.0, 252.5)	(6.0, 180.5)	(7.0, 158.0)	(8.0, 153.0)	(9.0, 135.5)	(10.0, 116.0)	(11.0, 128.0)	(12.0, 142.0)	(13.0, 184.0)	(14.0, 286.0)	(15.0, 415.0)	(16.0, 484.0)	(17.0, 616.0)	(18.0, 844.5)	(19.0, 1020.0)	(20.0, 1099.0)	(21.0, 1162.5)	(22.0, 1256.0)	(23.0, 1294.0)	(24.0, 1302.0)	(25.0, 1333.5)	(26.0, 1348.0)	(27.0, 1345.0)	(28.0, 1359.0)	(29.0, 1404.0)	(30.0, 1509.5)	(31.0, 2118.5)	(32.0, 2667.0)	(33.0, 3696.5)	(34.0, 5474.5)	(35.0, 7760.0)	(36.0, 9297.0)	(37.0, 12275.5)	(38.0, 19444.0)	(39.0, 29846.0)	(40.0, 36058.0)	(41.0, 45445.0)	(42.0, 70027.0)	(43.0, 104919.5)	(44.0, 124617.0)	(45.0, 152532.5)	(46.0, 215749.0)	(47.0, 292464.5)	(48.0, 333879.0)	(49.0, 381272.5)	(50.0, 475455.0)	(51.0, 574766.5)	(52.0, 627289.0)	(53.0, 690822.5)	(54.0, 810248.5)	(55.0, 925492.5)	(56.0, 984844.0)	(57.0, 1039454.0)	(58.0, 1138491.0)	(59.0, 1193962.5)	(60.0, 1205007.0)	(61.0, 1199583.0)	(62.0, 1174220.0)	(63.0, 1116361.0)	(64.0, 1078441.0)	(65.0, 1026929.5)	(66.0, 913666.0)	(67.0, 793774.5)	(68.0, 735635.0)	(69.0, 673227.0)	(70.0, 554963.5)	(71.0, 452496.0)	(72.0, 405884.0)	(73.0, 362384.0)	(74.0, 284464.5)	(75.0, 220089.5)	(76.0, 190134.0)	(77.0, 167162.5)	(78.0, 126669.0)	(79.0, 95297.0)	(80.0, 81447.0)	(81.0, 70698.0)	(82.0, 51373.5)	(83.0, 36248.0)	(84.0, 29698.0)	(85.0, 24858.0)	(86.0, 16447.0)	(87.0, 10445.5)	(88.0, 8015.0)	(89.0, 6474.0)	(90.0, 3853.5)	(91.0, 2088.0)	(92.0, 1402.0)	(93.0, 1054.0)	(94.0, 517.0)	(95.0, 239.0)	(96.0, 150.0)	(97.0, 133.0)	(98.0, 142.0)	(99.0, 1032.5)	(100.0, 1897.0)
results | qc | raw | SRR066647	(0.0, 86484.0)	(1.0, 44212.5)	(2.0, 1321.5)	(3.0, 529.5)	(4.0, 357.0)	(5.0, 310.0)	(6.0, 230.0)	(7.0, 179.5)	(8.0, 162.0)	(9.0, 148.5)	(10.0, 146.0)	(11.0, 192.5)	(12.0, 228.0)	(13.0, 281.5)	(14.0, 403.0)	(15.0, 545.0)	(16.0, 619.0)	(17.0, 770.0)	(18.0, 989.5)	(19.0, 1139.0)	(20.0, 1220.0)	(21.0, 1300.5)	(22.0, 1368.0)	(23.0, 1380.0)	(24.0, 1405.0)	(25.0, 1379.0)	(26.0, 1341.5)	(27.0, 1353.0)	(28.0, 1376.0)	(29.0, 1400.0)	(30.0, 1462.5)	(31.0, 1687.5)	(32.0, 1874.0)	(33.0, 2332.5)	(34.0, 3304.0)	(35.0, 5010.5)	(36.0, 6204.0)	(37.0, 8385.0)	(38.0, 13769.5)	(39.0, 22101.5)	(40.0, 27230.0)	(41.0, 35364.5)	(42.0, 55712.5)	(43.0, 83730.5)	(44.0, 99535.0)	(45.0, 122693.0)	(46.0, 176594.5)	(47.0, 245648.0)	(48.0, 283958.0)	(49.0, 326951.5)	(50.0, 410663.5)	(51.0, 500032.0)	(52.0, 548682.0)	(53.0, 607574.0)	(54.0, 718555.5)	(55.0, 828972.5)	(56.0, 887300.0)	(57.0, 944358.5)	(58.0, 1055628.5)	(59.0, 1132996.0)	(60.0, 1156152.0)	(61.0, 1169764.0)	(62.0, 1182642.0)	(63.0, 1161779.0)	(64.0, 1141650.0)	(65.0, 1103028.0)	(66.0, 1010513.0)	(67.0, 901506.5)	(68.0, 846393.0)	(69.0, 782111.5)	(70.0, 660100.0)	(71.0, 551285.0)	(72.0, 500200.0)	(73.0, 450769.5)	(74.0, 361427.0)	(75.0, 285674.5)	(76.0, 249834.0)	(77.0, 221684.0)	(78.0, 170886.5)	(79.0, 131199.5)	(80.0, 114160.0)	(81.0, 99270.5)	(82.0, 72978.0)	(83.0, 52393.5)	(84.0, 43212.0)	(85.0, 36248.5)	(86.0, 23683.5)	(87.0, 14492.5)	(88.0, 10903.0)	(89.0, 8619.5)	(90.0, 4892.5)	(91.0, 2587.5)	(92.0, 1726.0)	(93.0, 1274.0)	(94.0, 619.5)	(95.0, 327.0)	(96.0, 237.0)	(97.0, 221.0)	(98.0, 294.0)	(99.0, 1935.5)	(100.0, 3488.0)
results | qc | raw | SRR066648	(0.0, 2202.0)	(1.0, 1181.0)	(2.0, 109.0)	(3.0, 49.0)	(4.0, 40.0)	(5.0, 35.0)	(6.0, 34.5)	(7.0, 33.0)	(8.0, 27.0)	(9.0, 26.0)	(10.0, 27.0)	(11.0, 22.0)	(12.0, 15.0)	(13.0, 22.0)	(14.0, 25.0)	(15.0, 24.5)	(16.0, 28.0)	(17.0, 31.5)	(18.0, 30.0)	(19.0, 22.5)	(20.0, 20.0)	(21.0, 29.5)	(22.0, 38.5)	(23.0, 37.5)	(24.0, 37.0)	(25.0, 44.5)	(26.0, 60.0)	(27.0, 80.0)	(28.0, 92.0)	(29.0, 113.5)	(30.0, 183.5)	(31.0, 388.5)	(32.0, 545.0)	(33.0, 866.0)	(34.0, 1496.5)	(35.0, 2526.0)	(36.0, 3246.0)	(37.0, 4414.0)	(38.0, 7677.0)	(39.0, 12733.0)	(40.0, 15694.0)	(41.0, 20547.0)	(42.0, 32841.5)	(43.0, 50132.5)	(44.0, 59982.0)	(45.0, 76503.5)	(46.0, 111491.5)	(47.0, 156083.5)	(48.0, 182209.0)	(49.0, 211553.5)	(50.0, 271728.0)	(51.0, 337660.5)	(52.0, 372763.0)	(53.0, 417474.5)	(54.0, 505792.0)	(55.0, 596166.5)	(56.0, 642935.0)	(57.0, 692811.0)	(58.0, 791525.5)	(59.0, 869802.0)	(60.0, 899240.0)	(61.0, 917603.0)	(62.0, 948636.0)	(63.0, 956821.5)	(64.0, 952337.0)	(65.0, 933829.0)	(66.0, 887063.5)	(67.0, 820356.0)	(68.0, 781906.0)	(69.0, 740159.5)	(70.0, 655508.0)	(71.0, 571471.0)	(72.0, 530339.0)	(73.0, 490952.5)	(74.0, 415718.0)	(75.0, 348016.0)	(76.0, 316162.0)	(77.0, 287996.5)	(78.0, 236521.0)	(79.0, 194248.0)	(80.0, 175285.0)	(81.0, 158339.5)	(82.0, 127198.5)	(83.0, 101152.5)	(84.0, 89302.0)	(85.0, 78785.0)	(86.0, 59054.5)	(87.0, 42412.5)	(88.0, 34984.0)	(89.0, 29194.0)	(90.0, 19241.5)	(91.0, 12069.0)	(92.0, 9059.0)	(93.0, 6962.0)	(94.0, 3694.5)	(95.0, 1840.0)	(96.0, 1156.0)	(97.0, 824.0)	(98.0, 345.5)	(99.0, 241.0)	(100.0, 283.0)
results | qc | trimmed | SRR066643	(0.0, 0.0)	(1.0, 0.5)	(2.0, 1.5)	(3.0, 2.0)	(4.0, 1.5)	(5.0, 0.5)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.5)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 0.5)	(13.0, 1.0)	(14.0, 3.5)	(15.0, 5.0)	(16.0, 5.5)	(17.0, 9.0)	(18.0, 14.5)	(19.0, 19.5)	(20.0, 30.5)	(21.0, 56.5)	(22.0, 87.0)	(23.0, 124.0)	(24.0, 187.0)	(25.0, 308.5)	(26.0, 513.0)	(27.0, 863.5)	(28.0, 1421.5)	(29.0, 2130.5)	(30.0, 2965.0)	(31.0, 4695.0)	(32.0, 7106.5)	(33.0, 9963.5)	(34.0, 13300.0)	(35.0, 18135.0)	(36.0, 24469.0)	(37.0, 31065.5)	(38.0, 40076.5)	(39.0, 53286.5)	(40.0, 68321.0)	(41.0, 85868.5)	(42.0, 109201.5)	(43.0, 137282.0)	(44.0, 169817.5)	(45.0, 209923.0)	(46.0, 256304.5)	(47.0, 303449.0)	(48.0, 347436.0)	(49.0, 395203.5)	(50.0, 452272.0)	(51.0, 509649.5)	(52.0, 560908.0)	(53.0, 613874.5)	(54.0, 666804.5)	(55.0, 716251.0)	(56.0, 769859.5)	(57.0, 824940.0)	(58.0, 870203.5)	(59.0, 903712.0)	(60.0, 933783.5)	(61.0, 950322.0)	(62.0, 952609.0)	(63.0, 947697.0)	(64.0, 932117.5)	(65.0, 905390.0)	(66.0, 867194.0)	(67.0, 826935.5)	(68.0, 777951.0)	(69.0, 716621.5)	(70.0, 650790.0)	(71.0, 582923.5)	(72.0, 515824.5)	(73.0, 447824.0)	(74.0, 384236.5)	(75.0, 332915.0)	(76.0, 284603.0)	(77.0, 235739.0)	(78.0, 195343.0)	(79.0, 161804.5)	(80.0, 131821.0)	(81.0, 108120.0)	(82.0, 87437.0)	(83.0, 66320.0)	(84.0, 51122.0)	(85.0, 39041.5)	(86.0, 27927.5)	(87.0, 21050.0)	(88.0, 16137.5)	(89.0, 10996.5)	(90.0, 7501.0)	(91.0, 5744.5)	(92.0, 3951.5)	(93.0, 2331.5)	(94.0, 1722.5)	(95.0, 1149.5)	(96.0, 537.0)	(97.0, 341.5)	(98.0, 238.5)	(99.0, 93.5)	(100.0, 43.0)
results | qc | trimmed | SRR066644	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 5.0)	(17.0, 8.0)	(18.0, 10.0)	(19.0, 11.0)	(20.0, 14.0)	(21.0, 23.5)	(22.0, 44.5)	(23.0, 76.5)	(24.0, 128.5)	(25.0, 197.5)	(26.0, 303.5)	(27.0, 477.0)	(28.0, 764.5)	(29.0, 1162.0)	(30.0, 1713.5)	(31.0, 2696.0)	(32.0, 4084.0)	(33.0, 5716.0)	(34.0, 7988.5)	(35.0, 11651.0)	(36.0, 16653.0)	(37.0, 22444.5)	(38.0, 30937.0)	(39.0, 42764.5)	(40.0, 56294.5)	(41.0, 73324.0)	(42.0, 95754.0)	(43.0, 122549.5)	(44.0, 152901.0)	(45.0, 190311.0)	(46.0, 237239.0)	(47.0, 288570.0)	(48.0, 339245.5)	(49.0, 395639.0)	(50.0, 462256.5)	(51.0, 530554.5)	(52.0, 594063.5)	(53.0, 659336.5)	(54.0, 724870.5)	(55.0, 787033.5)	(56.0, 854625.0)	(57.0, 923620.5)	(58.0, 978354.5)	(59.0, 1016870.0)	(60.0, 1051371.0)	(61.0, 1069623.5)	(62.0, 1068413.5)	(63.0, 1059268.5)	(64.0, 1038650.0)	(65.0, 1005388.0)	(66.0, 957140.5)	(67.0, 906882.5)	(68.0, 847854.5)	(69.0, 775855.0)	(70.0, 701018.5)	(71.0, 625763.0)	(72.0, 551078.5)	(73.0, 474218.5)	(74.0, 402868.0)	(75.0, 345743.5)	(76.0, 294538.0)	(77.0, 242617.0)	(78.0, 199426.0)	(79.0, 163550.5)	(80.0, 131225.0)	(81.0, 106732.5)	(82.0, 85647.5)	(83.0, 64125.0)	(84.0, 49372.0)	(85.0, 37393.0)	(86.0, 25969.0)	(87.0, 19129.5)	(88.0, 14592.5)	(89.0, 9940.0)	(90.0, 6722.5)	(91.0, 5217.5)	(92.0, 3508.5)	(93.0, 1932.5)	(94.0, 1435.0)	(95.0, 921.0)	(96.0, 375.5)	(97.0, 228.5)	(98.0, 155.5)	(99.0, 60.0)	(100.0, 32.0)
results | qc | trimmed | SRR066645	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.5)	(9.0, 1.0)	(10.0, 0.5)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.5)	(14.0, 2.0)	(15.0, 3.0)	(16.0, 3.0)	(17.0, 5.5)	(18.0, 13.0)	(19.0, 20.5)	(20.0, 28.0)	(21.0, 42.5)	(22.0, 62.0)	(23.0, 91.5)	(24.0, 143.5)	(25.0, 222.0)	(26.0, 330.0)	(27.0, 510.5)	(28.0, 828.5)	(29.0, 1249.0)	(30.0, 1800.0)	(31.0, 2665.0)	(32.0, 3938.5)	(33.0, 5599.5)	(34.0, 7983.0)	(35.0, 11671.0)	(36.0, 16763.5)	(37.0, 22729.0)	(38.0, 31214.5)	(39.0, 43132.0)	(40.0, 56919.0)	(41.0, 74348.0)	(42.0, 98079.5)	(43.0, 125852.5)	(44.0, 155525.5)	(45.0, 191481.0)	(46.0, 235771.0)	(47.0, 285453.5)	(48.0, 337245.0)	(49.0, 394590.0)	(50.0, 460309.5)	(51.0, 527586.5)	(52.0, 590135.5)	(53.0, 651979.5)	(54.0, 712831.5)	(55.0, 770954.5)	(56.0, 834063.5)	(57.0, 898769.5)	(58.0, 949019.0)	(59.0, 982286.5)	(60.0, 1011665.0)	(61.0, 1025581.5)	(62.0, 1019624.0)	(63.0, 1003147.5)	(64.0, 974399.5)	(65.0, 936283.5)	(66.0, 887625.5)	(67.0, 837310.5)	(68.0, 778326.5)	(69.0, 709329.5)	(70.0, 639124.0)	(71.0, 569613.0)	(72.0, 501084.5)	(73.0, 428991.0)	(74.0, 363328.0)	(75.0, 311686.5)	(76.0, 264770.5)	(77.0, 217584.5)	(78.0, 178910.5)	(79.0, 147324.0)	(80.0, 118017.5)	(81.0, 95338.5)	(82.0, 76266.5)	(83.0, 56782.0)	(84.0, 43828.5)	(85.0, 33715.5)	(86.0, 23632.0)	(87.0, 17426.5)	(88.0, 13203.0)	(89.0, 8917.0)	(90.0, 6068.5)	(91.0, 4782.5)	(92.0, 3234.0)	(93.0, 1723.0)	(94.0, 1243.0)	(95.0, 797.0)	(96.0, 319.5)	(97.0, 198.0)	(98.0, 134.0)	(99.0, 56.5)	(100.0, 36.0)
results | qc | trimmed | SRR066646	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.5)	(8.0, 1.0)	(9.0, 1.5)	(10.0, 2.0)	(11.0, 2.0)	(12.0, 3.0)	(13.0, 5.0)	(14.0, 5.5)	(15.0, 6.0)	(16.0, 7.5)	(17.0, 7.0)	(18.0, 12.5)	(19.0, 26.0)	(20.0, 38.0)	(21.0, 47.0)	(22.0, 71.5)	(23.0, 129.0)	(24.0, 224.5)	(25.0, 353.5)	(26.0, 514.5)	(27.0, 793.5)	(28.0, 1211.5)	(29.0, 1688.5)	(30.0, 2414.0)	(31.0, 3828.5)	(32.0, 5638.0)	(33.0, 7955.0)	(34.0, 11255.0)	(35.0, 15839.5)	(36.0, 21480.0)	(37.0, 28469.5)	(38.0, 38733.5)	(39.0, 52971.5)	(40.0, 68537.0)	(41.0, 87211.5)	(42.0, 113862.0)	(43.0, 146025.0)	(44.0, 178828.5)	(45.0, 218326.5)	(46.0, 268472.5)	(47.0, 322228.5)	(48.0, 371676.0)	(49.0, 425694.0)	(50.0, 488126.0)	(51.0, 547576.0)	(52.0, 597515.0)	(53.0, 642512.0)	(54.0, 687272.0)	(55.0, 728240.0)	(56.0, 769877.0)	(57.0, 807525.0)	(58.0, 833774.5)	(59.0, 839123.0)	(60.0, 836285.0)	(61.0, 822970.0)	(62.0, 792559.0)	(63.0, 756504.5)	(64.0, 714055.0)	(65.0, 666232.5)	(66.0, 609445.0)	(67.0, 556682.5)	(68.0, 504674.0)	(69.0, 448595.0)	(70.0, 396239.5)	(71.0, 347210.0)	(72.0, 299447.5)	(73.0, 251342.5)	(74.0, 207879.5)	(75.0, 173694.0)	(76.0, 144174.0)	(77.0, 116412.5)	(78.0, 93646.5)	(79.0, 74741.0)	(80.0, 58877.5)	(81.0, 46645.5)	(82.0, 35788.5)	(83.0, 25991.0)	(84.0, 19649.5)	(85.0, 14658.5)	(86.0, 10259.0)	(87.0, 7618.5)	(88.0, 5645.5)	(89.0, 3727.0)	(90.0, 2462.5)	(91.0, 1856.5)	(92.0, 1220.5)	(93.0, 638.5)	(94.0, 444.0)	(95.0, 272.0)	(96.0, 105.5)	(97.0, 65.5)	(98.0, 47.0)	(99.0, 20.5)	(100.0, 12.0)
