Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
results | qc | raw | SRR066643	(1.0, 2027.0)	(2.0, 10978.0)	(3.0, 3350.0)	(4.0, 3935.0)	(5.0, 6707.0)	(6.0, 14266.0)	(7.0, 29982.0)	(8.0, 58885.0)	(9.0, 102091.0)	(10.0, 152080.0)	(11.0, 204265.0)	(12.0, 256823.0)	(13.0, 313064.0)	(14.0, 378869.0)	(15.0, 456123.0)	(16.0, 544664.0)	(17.0, 636813.0)	(18.0, 723739.0)	(19.0, 796647.0)	(20.0, 864493.0)	(21.0, 908960.0)	(22.0, 922368.0)	(23.0, 908840.0)	(24.0, 918615.0)	(25.0, 991867.0)	(26.0, 1117215.0)	(27.0, 1241341.0)	(28.0, 1303025.0)	(29.0, 1226270.0)	(30.0, 978924.0)	(31.0, 594849.0)	(32.0, 210299.0)	(33.0, 18195.0)	
results | qc | raw | SRR066644	(1.0, 857.0)	(2.0, 3543.0)	(3.0, 1738.0)	(4.0, 2826.0)	(5.0, 6388.0)	(6.0, 16034.0)	(7.0, 37238.0)	(8.0, 77260.0)	(9.0, 135141.0)	(10.0, 202572.0)	(11.0, 271869.0)	(12.0, 343625.0)	(13.0, 417495.0)	(14.0, 503263.0)	(15.0, 606598.0)	(16.0, 718401.0)	(17.0, 828527.0)	(18.0, 925530.0)	(19.0, 1002194.0)	(20.0, 1053971.0)	(21.0, 1072612.0)	(22.0, 1054542.0)	(23.0, 1013412.0)	(24.0, 996073.0)	(25.0, 1046514.0)	(26.0, 1146645.0)	(27.0, 1226492.0)	(28.0, 1218869.0)	(29.0, 1063056.0)	(30.0, 768889.0)	(31.0, 411317.0)	(32.0, 122032.0)	(33.0, 7447.0)	
results | qc | raw | SRR066645	(1.0, 1150.0)	(2.0, 5411.0)	(3.0, 2810.0)	(4.0, 4054.0)	(5.0, 8105.0)	(6.0, 18766.0)	(7.0, 41554.0)	(8.0, 81866.0)	(9.0, 139733.0)	(10.0, 207949.0)	(11.0, 278213.0)	(12.0, 349187.0)	(13.0, 421497.0)	(14.0, 506223.0)	(15.0, 605482.0)	(16.0, 715136.0)	(17.0, 818383.0)	(18.0, 911403.0)	(19.0, 984342.0)	(20.0, 1032198.0)	(21.0, 1050830.0)	(22.0, 1031912.0)	(23.0, 987665.0)	(24.0, 967466.0)	(25.0, 1012107.0)	(26.0, 1099551.0)	(27.0, 1172111.0)	(28.0, 1157040.0)	(29.0, 1007747.0)	(30.0, 716931.0)	(31.0, 370057.0)	(32.0, 102368.0)	(33.0, 5703.0)	
results | qc | raw | SRR066646	(0.0, 21.0)	(1.0, 3198.0)	(2.0, 28833.0)	(3.0, 7831.0)	(4.0, 15131.0)	(5.0, 33341.0)	(6.0, 58645.0)	(7.0, 87221.0)	(8.0, 118396.0)	(9.0, 152891.0)	(10.0, 196819.0)	(11.0, 247577.0)	(12.0, 290757.0)	(13.0, 327046.0)	(14.0, 366837.0)	(15.0, 411067.0)	(16.0, 463130.0)	(17.0, 510423.0)	(18.0, 546493.0)	(19.0, 566158.0)	(20.0, 585953.0)	(21.0, 632126.0)	(22.0, 733130.0)	(23.0, 888842.0)	(24.0, 1087667.0)	(25.0, 1285784.0)	(26.0, 1443124.0)	(27.0, 1531670.0)	(28.0, 1519637.0)	(29.0, 1390080.0)	(30.0, 1118693.0)	(31.0, 713328.0)	(32.0, 274123.0)	(33.0, 25192.0)
results | qc | raw | SRR066647	(0.0, 25.0)	(1.0, 5549.0)	(2.0, 43254.0)	(3.0, 8594.0)	(4.0, 15227.0)	(5.0, 32189.0)	(6.0, 54812.0)	(7.0, 78515.0)	(8.0, 105390.0)	(9.0, 137376.0)	(10.0, 179869.0)	(11.0, 230160.0)	(12.0, 273870.0)	(13.0, 312193.0)	(14.0, 352272.0)	(15.0, 400031.0)	(16.0, 454173.0)	(17.0, 508179.0)	(18.0, 552308.0)	(19.0, 578955.0)	(20.0, 602574.0)	(21.0, 648210.0)	(22.0, 736031.0)	(23.0, 879939.0)	(24.0, 1073006.0)	(25.0, 1284984.0)	(26.0, 1463168.0)	(27.0, 1577413.0)	(28.0, 1587210.0)	(29.0, 1466690.0)	(30.0, 1182064.0)	(31.0, 744044.0)	(32.0, 276647.0)	(33.0, 28720.0)
results | qc | raw | SRR066648	(1.0, 1766.0)	(2.0, 10906.0)	(3.0, 4121.0)	(4.0, 4487.0)	(5.0, 6309.0)	(6.0, 12312.0)	(7.0, 26305.0)	(8.0, 54666.0)	(9.0, 100066.0)	(10.0, 157571.0)	(11.0, 220831.0)	(12.0, 284155.0)	(13.0, 339437.0)	(14.0, 404060.0)	(15.0, 485151.0)	(16.0, 577542.0)	(17.0, 665870.0)	(18.0, 745570.0)	(19.0, 817417.0)	(20.0, 872568.0)	(21.0, 905792.0)	(22.0, 906129.0)	(23.0, 870552.0)	(24.0, 824961.0)	(25.0, 828851.0)	(26.0, 895329.0)	(27.0, 972111.0)	(28.0, 1015512.0)	(29.0, 955915.0)	(30.0, 736279.0)	(31.0, 402303.0)	(32.0, 111104.0)	(33.0, 6021.0)	
results | qc | trimmed | SRR066643	(23.0, 7.0)	(24.0, 32.0)	(25.0, 248.0)	(26.0, 3034.0)	(27.0, 31248.0)	(28.0, 237002.0)	(29.0, 1186842.0)	(30.0, 3192513.0)	(31.0, 3797427.0)	(32.0, 1566437.0)	(33.0, 139075.0)																							
results | qc | trimmed | SRR066644	(22.0, 1.0)	(23.0, 7.0)	(24.0, 47.0)	(25.0, 387.0)	(26.0, 4947.0)	(27.0, 49824.0)	(28.0, 345786.0)	(29.0, 1534663.0)	(30.0, 3629057.0)	(31.0, 3691921.0)	(32.0, 1254020.0)	(33.0, 84262.0)																						
results | qc | trimmed | SRR066645	(22.0, 2.0)	(23.0, 17.0)	(24.0, 58.0)	(25.0, 396.0)	(26.0, 4452.0)	(27.0, 43015.0)	(28.0, 297766.0)	(29.0, 1361077.0)	(30.0, 3363303.0)	(31.0, 3591348.0)	(32.0, 1264373.0)	(33.0, 84715.0)																						
results | qc | trimmed | SRR066646	(22.0, 2.0)	(23.0, 24.0)	(24.0, 214.0)	(25.0, 2080.0)	(26.0, 16856.0)	(27.0, 109118.0)	(28.0, 520472.0)	(29.0, 1651248.0)	(30.0, 2978114.0)	(31.0, 2490594.0)	(32.0, 787156.0)	(33.0, 53459.0)																						
