Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
results | qc | raw | SRR066643	(1.0, 52.642732412197866)	(2.0, 8.400762055472406)	(3.0, 4.40179812535938)	(4.0, 2.8725186950117885)	(5.0, 1.9611874083189433)	(6.0, 1.6477504609478708)	(7.0, 1.4228203393745977)	(8.0, 1.2070873555738992)	(9.0, 1.0452056818101711)	('>10', 13.301854152766197)	('>50', 4.092198614485971)	('>100', 5.374634991954868)	('>500', 0.9779451004715677)	('>1k', 0.6202262335834003)	('>5k', 0.03127837267124771)	('>10k+', 0.0)
results | qc | raw | SRR066644	(1.0, 50.20229209174245)	(2.0, 9.024997486870737)	(3.0, 4.846277340429954)	(4.0, 3.205841628648809)	(5.0, 2.3073497748496643)	(6.0, 1.9079705453248785)	(7.0, 1.5287536881217965)	(8.0, 1.4048393090091216)	(9.0, 1.1604329184428968)	('>10', 15.090827479026089)	('>50', 4.354112774823222)	('>100', 4.39320038662277)	('>500', 0.3800547566465782)	('>1k', 0.19304981944088656)	('>5k', 0.0)	('>10k+', 0.0)
results | qc | raw | SRR066645	(1.0, 48.529048819831026)	(2.0, 9.098792913193673)	(3.0, 4.681993820249159)	(4.0, 3.0841475812933354)	(5.0, 2.275886869400822)	(6.0, 1.7621528334701937)	(7.0, 1.4516388284345563)	(8.0, 1.2820526124259561)	(9.0, 1.1221685763272669)	('>10', 15.129875218833197)	('>50', 5.271353322172298)	('>100', 5.726558147774454)	('>500', 0.4367564940714372)	('>1k', 0.14757396252246452)	('>5k', 0.0)	('>10k+', 0.0)
results | qc | raw | SRR066646	(1.0, 48.24474029631504)	(2.0, 10.287332413390935)	(3.0, 5.355139710270035)	(4.0, 3.4158332414176726)	(5.0, 2.4194056737594707)	(6.0, 1.85937290567794)	(7.0, 1.5716993514850293)	(8.0, 1.2715926627287475)	(9.0, 1.0712538467779442)	('>10', 14.241063939461682)	('>50', 4.571694824624233)	('>100', 4.809980955523416)	('>500', 0.386269583522099)	('>1k', 0.1415189621095054)	('>5k', 0.0)	('>10k+', 0.3531016329362677)
results | qc | raw | SRR066647	(1.0, 46.689877386520564)	(2.0, 10.918186664919682)	(3.0, 5.520734270916287)	(4.0, 3.575491030043365)	(5.0, 2.6043057511962657)	(6.0, 1.9303989537502713)	(7.0, 1.6030225534991382)	(8.0, 1.3710856927708788)	(9.0, 1.1768391860718983)	('>10', 14.456112420025867)	('>50', 4.535373465012609)	('>100', 4.7351452102465075)	('>500', 0.30247029445840895)	('>1k', 0.14061503847757273)	('>5k', 0.0)	('>10k+', 0.4403420820908707)
results | qc | raw | SRR066648	(1.0, 53.788596291150036)	(2.0, 9.547105658887226)	(3.0, 4.814559764426994)	(4.0, 3.1149507228034126)	(5.0, 2.2232531052022586)	(6.0, 1.6936440124218424)	(7.0, 1.2691744874658322)	(8.0, 1.1663075268231484)	(9.0, 0.9581262544396549)	('>10', 12.95142286705242)	('>50', 4.119387019574322)	('>100', 4.107347371151294)	('>500', 0.18915386787791041)	('>1k', 0.0569710507236751)	('>5k', 0.0)	('>10k+', 0.0)
results | qc | trimmed | SRR066643	(1.0, 63.41491308649396)	(2.0, 10.21696285821398)	(3.0, 4.593754494667146)	(4.0, 2.8122917166927373)	(5.0, 1.9480896127508986)	(6.0, 1.468538562281913)	(7.0, 1.1042929104310535)	(8.0, 0.9680582456359068)	(9.0, 0.8002757965709613)	('>10', 7.663627446452513)	('>50', 1.9464319240673316)	('>100', 2.3318999596124144)	('>500', 0.4296331699041367)	('>1k', 0.30123021622517393)	('>5k', 0.0)	('>10k+', 0.0)
results | qc | trimmed | SRR066644	(1.0, 66.41001270087816)	(2.0, 10.49714770303644)	(3.0, 4.877064971191364)	(4.0, 2.903302962672565)	(5.0, 1.9528512909219018)	(6.0, 1.4616214405178467)	(7.0, 1.1625819544950602)	(8.0, 0.9113788858794075)	(9.0, 0.7362593335145955)	('>10', 6.784665334661917)	('>50', 1.1675500964022387)	('>100', 0.9863689805381191)	('>500', 0.12358255491007855)	('>1k', 0.02561179038026387)	('>5k', 0.0)	('>10k+', 0.0)
results | qc | trimmed | SRR066645	(1.0, 63.60537887969735)	(2.0, 10.483379123677725)	(3.0, 5.001439130464169)	(4.0, 3.17699671058129)	(5.0, 2.144772790762117)	(6.0, 1.5952212975708733)	(7.0, 1.2546547260565246)	(8.0, 1.0230021657112742)	(9.0, 0.8459655843640773)	('>10', 8.135163569662)	('>50', 1.4294610635142107)	('>100', 1.2171389476524686)	('>500', 0.07528877675377132)	('>1k', 0.012137233532094116)	('>5k', 0.0)	('>10k+', 0.0)
results | qc | trimmed | SRR066646	(1.0, 64.92217773588123)	(2.0, 10.186410105070436)	(3.0, 4.694087774904136)	(4.0, 2.853694955730808)	(5.0, 2.0470858439953696)	(6.0, 1.4805036425581983)	(7.0, 1.1321052156365805)	(8.0, 0.9449508537726248)	(9.0, 0.7749286519636858)	('>10', 7.9473294083378745)	('>50', 1.563314350869921)	('>100', 1.3231603194175228)	('>500', 0.11324419686802034)	('>1k', 0.017006944993505874)	('>5k', 0.0)	('>10k+', 0.0)
