Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
results | qc | raw | SRR066643	(75, 16900569.0)																																													
results | qc | raw | SRR066644	(75, 18302970.0)																																													
results | qc | raw | SRR066645	(75, 17814950.0)																																													
results | qc | raw | SRR066646	(75, 17661164.0)																																													
results | qc | raw | SRR066647	(75, 17873641.0)																																													
results | qc | raw | SRR066648	(75, 15221969.0)																																													
results | qc | trimmed | SRR066643	(30, 265302.0)	(31, 274259.0)	(32, 330943.0)	(33, 310262.0)	(34, 258831.0)	(35, 286423.0)	(36, 308663.0)	(37, 286683.0)	(38, 321686.0)	(39, 366141.0)	(40, 284509.0)	(41, 281982.0)	(42, 303864.0)	(43, 277454.0)	(44, 267763.0)	(45, 269112.0)	(46, 254324.0)	(47, 348326.0)	(48, 357651.0)	(49, 273187.0)	(50, 249093.0)	(51, 247155.0)	(52, 222505.0)	(53, 208835.0)	(54, 202513.0)	(55, 209033.0)	(56, 216096.0)	(57, 214994.0)	(58, 180011.0)	(59, 169927.0)	(60, 205262.0)	(61, 154943.0)	(62, 152328.0)	(63, 153312.0)	(64, 131424.0)	(65, 119899.0)	(66, 106232.0)	(67, 97818.0)	(68, 98672.0)	(69, 94684.0)	(70, 86760.0)	(71, 78302.0)	(72, 75182.0)	(73, 65713.0)	(74, 0.0)	(75, 485807.0)
results | qc | trimmed | SRR066644	(30, 313564.0)	(31, 330970.0)	(32, 413207.0)	(33, 370525.0)	(34, 311494.0)	(35, 328621.0)	(36, 367675.0)	(37, 339264.0)	(38, 379156.0)	(39, 326827.0)	(40, 336249.0)	(41, 330238.0)	(42, 344004.0)	(43, 312810.0)	(44, 311594.0)	(45, 291599.0)	(46, 281548.0)	(47, 277925.0)	(48, 291034.0)	(49, 294651.0)	(50, 280250.0)	(51, 275493.0)	(52, 248334.0)	(53, 231506.0)	(54, 227754.0)	(55, 222539.0)	(56, 217956.0)	(57, 205774.0)	(58, 173774.0)	(59, 174554.0)	(60, 172661.0)	(61, 161342.0)	(62, 147767.0)	(63, 145715.0)	(64, 119741.0)	(65, 108981.0)	(66, 95015.0)	(67, 87069.0)	(68, 82160.0)	(69, 76129.0)	(70, 72087.0)	(71, 65406.0)	(72, 60128.0)	(73, 50549.0)	(74, 0.0)	(75, 339283.0)
results | qc | trimmed | SRR066645	(30, 306600.0)	(31, 316741.0)	(32, 420356.0)	(33, 349511.0)	(34, 297615.0)	(35, 319326.0)	(36, 342464.0)	(37, 323612.0)	(38, 390840.0)	(39, 312660.0)	(40, 313021.0)	(41, 315133.0)	(42, 336308.0)	(43, 299980.0)	(44, 282116.0)	(45, 268639.0)	(46, 265947.0)	(47, 263229.0)	(48, 295530.0)	(49, 277393.0)	(50, 275962.0)	(51, 263821.0)	(52, 230061.0)	(53, 214142.0)	(54, 207430.0)	(55, 209854.0)	(56, 200344.0)	(57, 193537.0)	(58, 159143.0)	(59, 164391.0)	(60, 160376.0)	(61, 152735.0)	(62, 131873.0)	(63, 126909.0)	(64, 108007.0)	(65, 103152.0)	(66, 88752.0)	(67, 79146.0)	(68, 75013.0)	(69, 67406.0)	(70, 65260.0)	(71, 60024.0)	(72, 52051.0)	(73, 44851.0)	(74, 0.0)	(75, 279261.0)
results | qc | trimmed | SRR066646	(30, 195504.0)	(31, 203328.0)	(32, 222329.0)	(33, 215860.0)	(34, 215093.0)	(35, 228715.0)	(36, 210321.0)	(37, 202620.0)	(38, 242750.0)	(39, 260480.0)	(40, 303358.0)	(41, 266999.0)	(42, 326141.0)	(43, 263817.0)	(44, 296533.0)	(45, 327908.0)	(46, 287550.0)	(47, 166135.0)	(48, 150471.0)	(49, 141826.0)	(50, 139370.0)	(51, 138108.0)	(52, 128805.0)	(53, 128041.0)	(54, 128784.0)	(55, 145656.0)	(56, 172303.0)	(57, 176661.0)	(58, 191544.0)	(59, 163454.0)	(60, 178087.0)	(61, 178117.0)	(62, 156745.0)	(63, 156707.0)	(64, 117191.0)	(65, 84721.0)	(66, 75134.0)	(67, 71035.0)	(68, 70874.0)	(69, 90062.0)	(70, 65257.0)	(71, 66168.0)	(72, 54056.0)	(73, 58759.0)	(74, 0.0)	(75, 945960.0)
