Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
results | qc | fastp | SRR066643	26.435599999999997	78.11630000000001	384.020869	10.153865	59.975199999999994	60.08001860765753	38.78381806750609	1.975253022546164	75.0						
results | qc | fastp | SRR066644	26.4143	76.1838	379.22851499999996	10.594922	60.1906	57.88635396331853	36.2623333808666	2.3729099703490744	75.0						
results | qc | fastp | SRR066645	25.6382	76.7094	358.172989	10.010522	59.9602	56.191692932059865	34.94605006843503	2.8312961866297686	75.0						
results | qc | fastp | SRR066646	31.1285	74.1753	321.578181	8.609337	57.815099999999994	48.747279624378095	32.730069433702106	3.132001945058661	75.0						
results | qc | fastp | SRR066647	33.3043	74.01180000000001	340.937003	9.10014	59.1044	50.91374499465442	34.36363547863583	2.259092033906242	75.0						
results | qc | fastp | SRR066648	21.6311	78.4446	353.513966	9.506917999999999	61.155	62.45524478469244	39.47402958622939	2.6505243835406573	75.0						
results | qc | raw | SRR066643										39.03792425585001	62.0	75.0	75	27.27272727272727	16.900569
results | qc | raw | SRR066644										40.676804247753175	62.0	75.0	75	9.090909090909092	18.30297
results | qc | raw | SRR066645										42.45527763541109	62.0	75.0	75	27.27272727272727	17.81495
results | qc | raw | SRR066646										41.83017699508665	60.0	75.0	75	27.27272727272727	17.661164
results | qc | raw | SRR066647										42.883997418186084	61.0	75.0	75	18.181818181818183	17.873641
results | qc | raw | SRR066648										37.132340329016024	63.0	75.0	75	9.090909090909092	15.221969
results | qc | trimmed | SRR066643										27.763254398530407	59.0	48.415203964204764	47	18.181818181818183	10.153865
results | qc | trimmed | SRR066644										24.57240928068542	60.0	46.98300752001761	45	9.090909090909092	10.594922
results | qc | trimmed | SRR066645										27.09726853144207	59.0	46.64308224885775	45	9.090909090909092	10.010522
results | qc | trimmed | SRR066646										26.196908675579806	57.0	50.35676301206469	47	9.090909090909092	8.609337
results | qc | trimmed | SRR066647										26.27679387432535	59.0	50.620371005281235	47	9.090909090909092	9.10014
results | qc | trimmed | SRR066648										23.58593987107966	61.0	47.40277984936864	46	9.090909090909092	9.506917999999999
